Liang Zhang,https://dblp.org/pid/50/6759
Ricardo Colomo-Palacios,https://dblp.org/pid/64/2561
Lucas Carlos,https://dblp.org/pid/230/0025
Geoffrey Hinton,https://dblp.org/pid/10/3248
Guy Blelloch,https://dblp.org/pid/b/GEBlelloch
Danny Bickson,https://dblp.org/pid/35/1070
Simon Tavasoli,
Xavier Serra,https://dblp.org/pid/01/2680
Bruce Croft,https://dblp.org/pid/c/WBruceCroft
Laura Dietz,https://dblp.org/pid/85/5754
Blake Jackson,https://dblp.org/pid/213/1752
Gopal Karemore,https://dblp.org/pid/68/4640
Frank Kane,
Mustafa Jarrar,https://dblp.org/pid/j/MustafaJarrar
Michael D. Ekstrand,https://dblp.org/pid/69/7949
Joseph A Konstan,https://dblp.org/pid/09/3004
Jason Hong,https://dblp.org/pid/04/7125
Peter Zaitsev,https://dblp.org/pid/140/8716
Paolo Tomeo,https://dblp.org/pid/151/6893
Jian Lu,https://dblp.org/pid/41/10698
