YouTube,YouTube,http://dbpedia.org/resource/YouTube,1.0
Debut,Destiny's Child,http://dbpedia.org/resource/Destiny's_Child,0.6799999999999999
Talend,Talend,http://dbpedia.org/resource/Talend,1.0
Oracle,Oracle Hyperion,http://dbpedia.org/resource/Oracle_Hyperion,0.88
Microsoft,Microsoft,http://dbpedia.org/resource/Microsoft,1.0
Teradata,Teradata,http://dbpedia.org/resource/Teradata,1.0
LinkedIn Corporation,LinkedIn,http://dbpedia.org/resource/LinkedIn,0.88
Benjamin Le,,,0
Recommender Systems,,,0
Modern Recommender Systems,,,0
Twitter,Twitter,http://dbpedia.org/resource/Twitter,1.0
Youtube,YouTube,http://dbpedia.org/resource/YouTube,0.9333333333333333
Tumblr,Tumblr,http://dbpedia.org/resource/Tumblr,1.0
Facebook,"Facebook, Inc.","http://dbpedia.org/resource/Facebook,_Inc.",0.9142857142857141
Pentaho,,,0
Big Data Technology,,,0
eBay,EBay,http://dbpedia.org/resource/EBay,0.8333333333333333
PAYPAL,PayPal,http://dbpedia.org/resource/PayPal,0.5999999999999999
Kyligence,,,0
Twitter,Twitter,http://dbpedia.org/resource/Twitter,1.0
Instagram,Instagram,http://dbpedia.org/resource/Instagram,1.0
Facebook,"Facebook, Inc.","http://dbpedia.org/resource/Facebook,_Inc.",0.9142857142857141
Microsoft,Microsoft,http://dbpedia.org/resource/Microsoft,1.0
Recommender Systems,,,0
Stanford University,Stanford University,http://dbpedia.org/resource/Stanford_University,1.0
Recommender Systems,,,0
Internal Revenue Service,Internal Revenue Service,http://dbpedia.org/resource/Internal_Revenue_Service,1.0
Performance Advertising GmbH,,,0
Interactive Business Intelligence,,,0
OLAP,,,0
SQL Server Data Warehouse Tool Data Academy,,,0
Panasonic,Pan Sonic,http://dbpedia.org/resource/Pan_Sonic,0.8962962962962963
Amazon,Amazon.com,http://dbpedia.org/resource/Amazon.com,0.92
IBM,IBM,http://dbpedia.org/resource/IBM,1.0
Østfold University College,Østfold University College,http://dbpedia.org/resource/%C3%98stfold_University_College,1.0
